Conference,Year,Title,Author,Affiliation
ICLR,2018,On the regularization of Wasserstein GANs,Henning Petzka,None
ICLR,2018,On the regularization of Wasserstein GANs,Asja Fischer,Ruhr-Universität  Bochum
ICLR,2018,On the regularization of Wasserstein GANs,Denis Lukovnikov,None
ICLR,2018,Spatially Transformed Adversarial Examples,Chaowei Xiao,"University of Michigan, Ann Arbor"
ICLR,2018,Spatially Transformed Adversarial Examples,Jun-Yan Zhu,MIT CSAIL
ICLR,2018,Spatially Transformed Adversarial Examples,Bo Li,UC Berkeley
ICLR,2018,Spatially Transformed Adversarial Examples,Warren He,UC Berkeley
ICLR,2018,Spatially Transformed Adversarial Examples,Mingyan Liu,None
ICLR,2018,Spatially Transformed Adversarial Examples,dawn song,uc berkeley
ICLR,2018,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,Wieland Brendel,"University of Tuebingen, Germany"
ICLR,2018,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,Jonas Rauber,IMPRS for Intelligent Systems & University of Tübingen
ICLR,2018,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,,None
ICLR,2018,Communication Algorithms via Deep Learning,Hyeji Kim,University of Illinois at Urbana Champaign
ICLR,2018,Communication Algorithms via Deep Learning,Yihan Jiang,University of Washington
ICLR,2018,Communication Algorithms via Deep Learning,Ranvir B Rana,None
ICLR,2018,Communication Algorithms via Deep Learning,Sreeram Kannan,"University of Washington, Seattle"
ICLR,2018,Communication Algorithms via Deep Learning,Sewoong Oh,University of Illinois at Urbana-Champaign
ICLR,2018,Communication Algorithms via Deep Learning,Pramod Viswanath,None
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Róbert Torfason,Swiss Federal Institute of Technology
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Fabian Mentzer,ETH Zurich
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Eirikur Agustsson,Swiss Federal Institute of Technology
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Michael Tschannen,ETH Zurich
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Radu Timofte,ETH Zurich
ICLR,2018,Towards Image Understanding from Deep Compression Without Decoding,Luc V Gool,None
ICLR,2018,Unsupervised Machine Translation Using Monolingual Corpora Only,Guillaume Lample,Facebook AI Research
ICLR,2018,Unsupervised Machine Translation Using Monolingual Corpora Only,,None
ICLR,2018,Unsupervised Machine Translation Using Monolingual Corpora Only,Ludovic Denoyer,LIP6 - University Pierre et Marie Curie -- Criteo Research
ICLR,2018,Unsupervised Machine Translation Using Monolingual Corpora Only,Marc'Aurelio Ranzato,Facebook AI Research
ICLR,2018,Boosting the Actor with Dual Critic,Bo Dai,Georgia Institute of Technology
ICLR,2018,Boosting the Actor with Dual Critic,Albert Shaw,Georgia Institute of Technology
ICLR,2018,Boosting the Actor with Dual Critic,Niao He,None
ICLR,2018,Boosting the Actor with Dual Critic,Lihong Li,Google Inc.
ICLR,2018,Boosting the Actor with Dual Critic,Le Song,None
ICLR,2018,A DIRT-T Approach to Unsupervised Domain Adaptation,Rui Shu,Stanford University
ICLR,2018,A DIRT-T Approach to Unsupervised Domain Adaptation,Hung H Bui,DeepMind
ICLR,2018,A DIRT-T Approach to Unsupervised Domain Adaptation,Hirokazu Narui,Stanford University
ICLR,2018,A DIRT-T Approach to Unsupervised Domain Adaptation,Stefano Ermon,Stanford University
ICLR,2018,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING,Dejiao Zhang,University of Michigan
ICLR,2018,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING,Haozhu Wang,University of Michigan
ICLR,2018,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING,Mario Figueiredo,"Instituto de Telecomunicações, IST, University of Lisbon"
ICLR,2018,LEARNING TO SHARE: SIMULTANEOUS PARAMETER TYING AND SPARSIFICATION IN DEEP LEARNING,Laura Balzano,None
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,Roy Fox,UC Berkeley
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,Richard Shin,UC Berkeley
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,Sanjay Krishnan,None
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,Ken Goldberg,None
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,dawn song,uc berkeley
ICLR,2018,Parametrized Hierarchical Procedures for Neural Programming,Ion Stoica,UC Berkeley
ICLR,2018,Auto-Encoding Sequential Monte Carlo,Tuan Anh Le,University of Oxford
ICLR,2018,Auto-Encoding Sequential Monte Carlo,Maximilian Igl,University of Oxford
ICLR,2018,Auto-Encoding Sequential Monte Carlo,Tom Rainforth,University of Oxford
ICLR,2018,Auto-Encoding Sequential Monte Carlo,Tom Jin,JP Morgan
ICLR,2018,Auto-Encoding Sequential Monte Carlo,Frank Wood,University of British Columbia
ICLR,2018,Syntax-Directed Variational Autoencoder for Structured Data,Hanjun Dai,Georgia Institute of Technology
ICLR,2018,Syntax-Directed Variational Autoencoder for Structured Data,Yingtao Tian,"State University of New York, Stony Brook"
ICLR,2018,Syntax-Directed Variational Autoencoder for Structured Data,Bo Dai,Georgia Institute of Technology
ICLR,2018,Syntax-Directed Variational Autoencoder for Structured Data,Steven Skiena,Stony Brook University
ICLR,2018,Syntax-Directed Variational Autoencoder for Structured Data,Le Song,None
ICLR,2018,Learn to Pay Attention,Saumya Jetley,University of Oxford
ICLR,2018,Learn to Pay Attention,Nick Lord,University of Oxford
ICLR,2018,Learn to Pay Attention,Namhoon Lee,University of Oxford
ICLR,2018,Learn to Pay Attention,Philip Torr,None
ICLR,2018,The power of deeper networks for expressing natural functions,David Rolnick,MIT
ICLR,2018,The power of deeper networks for expressing natural functions,Max Tegmark,None
ICLR,2018,Deep Learning for Physical Processes: Incorporating Prior Scientific Knowledge,Emmanuel d Bezenac,None
ICLR,2018,Deep Learning for Physical Processes: Incorporating Prior Scientific Knowledge,Arthur Pajot,Sorbonnes Universite
ICLR,2018,Deep Learning for Physical Processes: Incorporating Prior Scientific Knowledge,gallinari patrick,Sorbonne Universite
ICLR,2018,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,Hao Zhang,Xidian University
ICLR,2018,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,Bo Chen,Xidian University
ICLR,2018,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,Dandan Guo,Xidian University
ICLR,2018,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,Mingyuan Zhou,University of Texas at Austin
ICLR,2018,Divide and Conquer Networks,Alex Nowak,Universitat Politecnica de Catalunya
ICLR,2018,Divide and Conquer Networks,David Folqué Garcia,Universitat Politècnica de Catalunya
ICLR,2018,Divide and Conquer Networks,Joan Bruna,University of California Berkeley
ICLR,2018,Hierarchical Representations for Efficient Architecture Search,Hanxiao Liu,Carnegie Mellon University
ICLR,2018,Hierarchical Representations for Efficient Architecture Search,Karen Simonyan,DeepMind
ICLR,2018,Hierarchical Representations for Efficient Architecture Search,Oriol Vinyals,Google DeepMind
ICLR,2018,Hierarchical Representations for Efficient Architecture Search,Chrisantha Fernando,DeepMind
ICLR,2018,Hierarchical Representations for Efficient Architecture Search,Koray Kavukcuoglu,DeepMind
ICLR,2018,On the insufficiency of existing momentum schemes for Stochastic Optimization,Rahul Kidambi,"University of Washington, Seattle"
ICLR,2018,On the insufficiency of existing momentum schemes for Stochastic Optimization,Praneeth Netrapalli,Microsoft Research
ICLR,2018,On the insufficiency of existing momentum schemes for Stochastic Optimization,Prateek Jain,"University of Texas, Austin"
ICLR,2018,On the insufficiency of existing momentum schemes for Stochastic Optimization,Sham M Kakade,University of Washington
ICLR,2018,Beyond Shared Hierarchies: Deep Multitask Learning through Soft Layer Ordering,Elliot Meyerson,The University of Texas at Austin & Sentient Technologies
ICLR,2018,Beyond Shared Hierarchies: Deep Multitask Learning through Soft Layer Ordering,Risto Miikkulainen,The University of Texas at Austin and Sentient Technologies
ICLR,2018,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksander Madry,MIT
ICLR,2018,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksandar A Makelov,University of Cambridge
ICLR,2018,Towards Deep Learning Models Resistant to Adversarial Attacks,Ludwig Schmidt,University of California Berkeley
ICLR,2018,Towards Deep Learning Models Resistant to Adversarial Attacks,Dimitris Tsipras,MIT
ICLR,2018,Towards Deep Learning Models Resistant to Adversarial Attacks,Adrian Vladu,Boston University
ICLR,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,Zhilin Yang,Carnegie Mellon University
ICLR,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,Zihang Dai,Carnegie Mellon University
ICLR,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,,None
ICLR,2018,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,William W Cohen,Carnegie Mellon University
ICLR,2018,Neural Speed Reading via Skim-RNN,Minjoon Seo,NAVER & U of Washington
ICLR,2018,Neural Speed Reading via Skim-RNN,Sewon Min,Seoul National University
ICLR,2018,Neural Speed Reading via Skim-RNN,Ali Farhadi,None
ICLR,2018,Neural Speed Reading via Skim-RNN,Hannaneh Hajishirzi,None
ICLR,2018,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning,Greg Farquhar,University of Oxford
ICLR,2018,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning,Tim Rocktaeschel,"Department of Computer Science, University College London"
ICLR,2018,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning,Maximilian Igl,University of Oxford
ICLR,2018,TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning,Shimon Whiteson,University of Oxford
ICLR,2018,Gradient Estimators for Implicit Models,Yingzhen Li,University of Cambridge
ICLR,2018,Gradient Estimators for Implicit Models,Rich E Turner,University of Cambridge
ICLR,2018,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,Jianbo Ye,Pennsylvania State University
ICLR,2018,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,Xin Lu,Adobe
ICLR,2018,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,Zhe Lin,Adobe Research
ICLR,2018,Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers,James Z Wang,None
ICLR,2018,When is a Convolutional Filter Easy to Learn?,Simon S Du,Carnegie Mellon University
ICLR,2018,When is a Convolutional Filter Easy to Learn?,Jason D Lee,None
ICLR,2018,When is a Convolutional Filter Easy to Learn?,Yuandong Tian,"Google [X], Self-driving car"
ICLR,2018,MGAN: Training Generative Adversarial Nets with Multiple Generators,Quan Hoang,University of Massachusetts-Amherst
ICLR,2018,MGAN: Training Generative Adversarial Nets with Multiple Generators,Tu D Nguyen,Deakin University
ICLR,2018,MGAN: Training Generative Adversarial Nets with Multiple Generators,Trung Le,Centre for Pattern Recognition and Data Analytics (PRaDA)
ICLR,2018,MGAN: Training Generative Adversarial Nets with Multiple Generators,Dinh Phung,Deakin University
ICLR,2018,Improving GAN Training via Binarized Representation Entropy (BRE) Regularization,Yanshuai Cao,Borealis AI
ICLR,2018,Improving GAN Training via Binarized Representation Entropy (BRE) Regularization,Gavin Weiguang Ding,Borealis AI
ICLR,2018,Improving GAN Training via Binarized Representation Entropy (BRE) Regularization,Yik Chau Lui,Borealis AI
ICLR,2018,Improving GAN Training via Binarized Representation Entropy (BRE) Regularization,Ruitong Huang,University of Alberta
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Gabriel Barth-maron,Brown University
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Matthew Hoffman,Google
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,David Budden,DeepMind
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Will Dabney,Amazon
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Dan Horgan,DeepMind
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Dhruva TB Tirumala Bukkapatnam,DeepMind
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Alistair M Muldal,DeepMind
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Nicolas Heess,None
ICLR,2018,Distributed Distributional Deterministic Policy Gradients,Timothy Lillicrap,DeepMind & UCL
ICLR,2018,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Evan Z Liu,Stanford University
ICLR,2018,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Kelvin Guu,Stanford University
ICLR,2018,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Panupong Pasupat,Stanford University
ICLR,2018,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Tim Shi,Stanford University
ICLR,2018,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration,Percy Liang,None
ICLR,2018,Learning a Generative Model for Validity in Complex Discrete Structures,David Janz,University of Cambridge
ICLR,2018,Learning a Generative Model for Validity in Complex Discrete Structures,Jos van der Westhuizen,Cambridge University
ICLR,2018,Learning a Generative Model for Validity in Complex Discrete Structures,Brooks Paige,Alan Turing Institute / University of Cambridge
ICLR,2018,Learning a Generative Model for Validity in Complex Discrete Structures,Matt J Kusner,Alan Turing Institute
ICLR,2018,Learning a Generative Model for Validity in Complex Discrete Structures,José Miguel Hernández Lobato,University of Cambridge
ICLR,2018,TRUNCATED HORIZON POLICY SEARCH: COMBINING REINFORCEMENT LEARNING & IMITATION LEARNING,Wen Sun,Carnegie Mellon University
ICLR,2018,TRUNCATED HORIZON POLICY SEARCH: COMBINING REINFORCEMENT LEARNING & IMITATION LEARNING,J. A Bagnell,None
ICLR,2018,TRUNCATED HORIZON POLICY SEARCH: COMBINING REINFORCEMENT LEARNING & IMITATION LEARNING,Byron Boots,Georgia Institute of Technology
ICLR,2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Yeming Wen,University of Toronto
ICLR,2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Paul Vicol,University of Toronto
ICLR,2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Jimmy Ba,University of Toronto
ICLR,2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Dustin Tran,None
ICLR,2018,Flipout: Efficient Pseudo-Independent Weight Perturbations on Mini-Batches,Roger Grosse,University of Toronto and Vector Institute
ICLR,2018,Lifelong Learning with Dynamically Expandable Networks,Jaehong Yoon,Ulsan National Institute of Science and Technology
ICLR,2018,Lifelong Learning with Dynamically Expandable Networks,Eunho Yang,Korea Advanced Institute of Science and Technology
ICLR,2018,Lifelong Learning with Dynamically Expandable Networks,Jeongtae Lee,UNIST
ICLR,2018,Lifelong Learning with Dynamically Expandable Networks,Sung Ju Hwang,KAIST
ICLR,2018,Simulated+Unsupervised Learning With Adaptive Data Generation and Bidirectional Mappings,Kangwook Lee,KAIST
ICLR,2018,Simulated+Unsupervised Learning With Adaptive Data Generation and Bidirectional Mappings,Hoon Kim,Korea Advanced Institute of Science and Technology
ICLR,2018,Simulated+Unsupervised Learning With Adaptive Data Generation and Bidirectional Mappings,Changho Suh,KAIST
ICLR,2018,Quantitatively Evaluating GANs With Divergences Proposed for Training,Daniel Im,Janelia Research Campus
ICLR,2018,Quantitatively Evaluating GANs With Divergences Proposed for Training,He Ma,University of Guelph
ICLR,2018,Quantitatively Evaluating GANs With Divergences Proposed for Training,Graham W Taylor,University of Guelph
ICLR,2018,Quantitatively Evaluating GANs With Divergences Proposed for Training,Kristin Branson,California Institute of Technology
ICLR,2018,Attacking Binarized Neural Networks,Angus Galloway,University of Guelph
ICLR,2018,Attacking Binarized Neural Networks,Graham W Taylor,University of Guelph
ICLR,2018,Attacking Binarized Neural Networks,Medhat Moussa,University of Guelph
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Rajarshi Das,"University of Massachusetts, Amherst"
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Shehzaad Dhuliawala,"Department of Computer Science, University of Massachusetts, Amherst"
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Manzil Zaheer,Carnegie Mellon University
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Luke Vilnis,None
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Ishan Durugkar,"College of Information and Computer Science, University of Massachusetts, Amherst"
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Akshay Krishnamurthy,UMass Amherst
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Alex Smola,None
ICLR,2018,Go for a Walk and Arrive at the Answer: Reasoning Over Paths in Knowledge Bases using Reinforcement Learning,Andrew McCallum,WhizBang Labs
ICLR,2018,Zero-Shot Visual Imitation,Deepak Pathak,UC Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Parsa Mahmoudieh,UC Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Michael Luo,"University of California, Berkeley"
ICLR,2018,Zero-Shot Visual Imitation,Pulkit Agrawal,University of California Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Dian Chen,University of California Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Fred Shentu,None
ICLR,2018,Zero-Shot Visual Imitation,Evan Shelhamer,UC Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Jitendra Malik,UC Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Alyosha Efros,UC Berkeley
ICLR,2018,Zero-Shot Visual Imitation,Trevor Darrell,UC Berkeley
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Dipankar Das,Indian Institute of Technology Kharagpur
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Naveen Mellempudi,Intel Corporation
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Dheevatsa Mudigere,Intel Labs
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Dhiraj Kalamkar,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Sasi Avancha,Intel Technology India Pvt. Ltd.
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Kunal Banerjee,Intel
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Srinivas Sridharan,Intel Corporation
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Karthik Vaidyanathan,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Bharat Kaul,Intel Corporation
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Evangelos Georganas,Intel
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Alexander Heinecke,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Pradeep K Dubey,Intel Corporation
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Jesus Corbal,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Nikita Shustrov,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Roma Dubtsov,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Evarist Fomenko,None
ICLR,2018,Mixed Precision Training of Convolutional Neural Networks using Integer Operations,Vadim Pirogov,Intel Corporation
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Aviv Tamar,Technion
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Khashayar Rohanimanesh,Osaro
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Yinlam Chow,DeepMind
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Chris Vigorito,"Osaro, Inc."
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Ben Goodrich,None
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Michael Kahane,None
ICLR,2018,Imitation Learning from Visual Data with Multiple Intentions,Derik Pridmore,None
ICLR,2018,Demystifying MMD GANs,Mikolaj Binkowski,Imperial College London
ICLR,2018,Demystifying MMD GANs,Dougal Sutherland,"Gatsby unit, University College London"
ICLR,2018,Demystifying MMD GANs,Michael Arbel,None
ICLR,2018,Demystifying MMD GANs,Arthur Gretton,University College London
ICLR,2018,A Framework for the Quantitative Evaluation of Disentangled Representations,Cian Eastwood,University of Edinburgh
ICLR,2018,A Framework for the Quantitative Evaluation of Disentangled Representations,Chris Williams,University of Edinburgh
ICLR,2018,Decision Boundary Analysis of Adversarial Examples,Warren He,UC Berkeley
ICLR,2018,Decision Boundary Analysis of Adversarial Examples,Bo Li,UC Berkeley
ICLR,2018,Decision Boundary Analysis of Adversarial Examples,dawn song,uc berkeley
ICLR,2018,Routing Networks: Adaptive Selection of Non-Linear Functions for Multi-Task Learning,Clemens Rosenbaum,UMass Amherst
ICLR,2018,Routing Networks: Adaptive Selection of Non-Linear Functions for Multi-Task Learning,Tim Klinger,IBM Research AI
ICLR,2018,Routing Networks: Adaptive Selection of Non-Linear Functions for Multi-Task Learning,Matt Riemer,IBM Research AI
